ID,Speed,VAT,Time,Price,Number,Type_Speed,Type_Vendor,Type_Date,Type_Customer,Folder_Name,Picture_Name
21,2 Mbps,200,30,200,*104*450*9175289#,ไม่ลดสปีด + โทรฟรีทุกเครือข่าย,Dtac,รายเดือน,ลูกค้าใหม่,newsim,1
22,4 Mbps,250,30,250,*104*451*9175289#,ไม่ลดสปีด + โทรฟรีทุกเครือข่าย,Dtac,รายเดือน,ลูกค้าใหม่,newsim,2
23,10 Mbps,300,30,350,*104*452*9175289#,ไม่ลดสปีด + โทรฟรีทุกเครือข่าย,Dtac,รายเดือน,ลูกค้าใหม่,newsim,3
42,2 Mbps,150,30,150,*104*225*9175289#,ไม่อั้น ไม่ลดสปีด,Dtac,รายเดือน,ลูกค้าใหม่,newsim,4
43,4 Mbps,200,30,200,*104*514*9175289#,ไม่อั้น ไม่ลดสปีด,Dtac,รายเดือน,ลูกค้าใหม่,newsim,5
44,10 Mbps,250,30,250,*104*517*9175289#,ไม่อั้น ไม่ลดสปีด,Dtac,รายเดือน,ลูกค้าใหม่,newsim,6
1,512 Kbps,31.03,1,29,*104*66*9175289#,ไม่ลดสปีด + โทรฟรีในเครือข่าย,Dtac,รายวัน,ลูกค้าเก่า,unlimitedfreecall,1
2,1 Mbps,34.24,1,32,*104*67*9175289#,ไม่ลดสปีด + โทรฟรีในเครือข่าย,Dtac,รายวัน,ลูกค้าเก่า,unlimitedfreecall,2
3,4 Mbps,41.73,1,39,*104*68*9175289#,ไม่ลดสปีด + โทรฟรีในเครือข่าย,Dtac,รายวัน,ลูกค้าเก่า,unlimitedfreecall,3
4,10 Mbps,63.13,1,59,*104*69*9175289#,ไม่ลดสปีด + โทรฟรีในเครือข่าย,Dtac,รายวัน,ลูกค้าเก่า,unlimitedfreecall,4
5,256 Kbps,73.83,7,69,*104*75*9175289#,ไม่ลดสปีด + โทรฟรีในเครือข่าย,Dtac,รายวัน,ลูกค้าเก่า,unlimitedfreecall,5
6,512 Kbps,107,7,100,*104*76*9175289#,ไม่ลดสปีด + โทรฟรีในเครือข่าย,Dtac,รายวัน,ลูกค้าเก่า,unlimitedfreecall,6
7,1 Mbps,138.03,7,129,*104*77*9175289#,ไม่ลดสปีด + โทรฟรีในเครือข่าย,Dtac,รายวัน,ลูกค้าเก่า,unlimitedfreecall,7
8,4 Mbps,245.03,7,229,*104*78*9175289#,ไม่ลดสปีด + โทรฟรีในเครือข่าย,Dtac,รายวัน,ลูกค้าเก่า,unlimitedfreecall,8
9,10 Mbps,321,7,300,*104*79*9175289#,ไม่ลดสปีด + โทรฟรีในเครือข่าย,Dtac,รายวัน,ลูกค้าเก่า,unlimitedfreecall,9
